Month	MajorText	MinorText	Borough	CrimeCount	Population
201308	Violence Against The Person	Assault With Injury	Barking and Dagenham	82	203200
201308	Violence Against The Person	Other Violence	Barking and Dagenham	13	203200
201308	Theft & Handling	Other Theft	Barking and Dagenham	145	203200
201308	Violence Against The Person	Murder	Barking and Dagenham	1	203200
201308	Burglary	Burglary In A Dwelling	Barking and Dagenham	98	203200
201308	Criminal Damage	Criminal Damage To Dwelling	Barking and Dagenham	38	203200
201308	Theft & Handling	Handling Stolen Goods	Barking and Dagenham	2	203200
201308	Theft & Handling	Theft From Motor Vehicle	Barking and Dagenham	154	203200
201308	Violence Against The Person	Common Assault	Barking and Dagenham	78	203200
201308	Violence Against The Person	Offensive Weapon	Barking and Dagenham	5	203200
201308	Sexual Offences	Rape	Barking and Dagenham	10	203200
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Barking and Dagenham	68	203200
201308	Burglary	Burglary In Other Buildings	Barking and Dagenham	50	203200
201308	Other Notifiable Offences	Other Notifiable	Barking and Dagenham	22	203200
201308	Violence Against The Person	Harassment	Barking and Dagenham	106	203200
201308	Robbery	Personal Property	Barking and Dagenham	32	203200
201308	Robbery	Business Property	Barking and Dagenham	4	203200
201308	Fraud & Forgery	Other Fraud & Forgery	Barking and Dagenham	3	203200
201308	Theft & Handling	Theft From Shops	Barking and Dagenham	59	203200
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Barking and Dagenham	24	203200
201308	Criminal Damage	Other Criminal Damage	Barking and Dagenham	26	203200
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Barking and Dagenham	6	203200
201308	Criminal Damage	Criminal Damage To Other Building	Barking and Dagenham	14	203200
201308	Drugs	Drug Trafficking	Barking and Dagenham	6	203200
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Barking and Dagenham	49	203200
201308	Violence Against The Person	Wounding/GBH	Barking and Dagenham	51	203200
201308	Drugs	Possession Of Drugs	Barking and Dagenham	94	203200
201308	Theft & Handling	Other Theft Person	Barking and Dagenham	24	203200
201308	Sexual Offences	Other Sexual	Barking and Dagenham	15	203200
201308	Criminal Damage	Criminal Damage To Dwelling	Barnet	29	380800
201308	Violence Against The Person	Wounding/GBH	Barnet	41	380800
201308	Theft & Handling	Theft From Shops	Barnet	80	380800
201308	Drugs	Possession Of Drugs	Barnet	67	380800
201308	Sexual Offences	Other Sexual	Barnet	18	380800
201308	Theft & Handling	Theft/Taking Of Motor Vehicle	Barnet	57	380800
201308	Theft & Handling	Other Theft	Barnet	265	380800
201308	Criminal Damage	Criminal Damage To Motor Vehicle	Barnet	79	380800
201308	Drugs	Drug Trafficking	Barnet	10	380800
201308	Sexual Offences	Rape	Barnet	11	380800
201308	Criminal Damage	Criminal Damage To Other Building	Barnet	22	380800
201308	Theft & Handling	Other Theft Person	Barnet	47	380800
201308	Criminal Damage	Other Criminal Damage	Barnet	32	380800
201308	Theft & Handling	Motor Vehicle Interference & Tampering	Barnet	23	380800
201308	Burglary	Burglary In Other Buildings	Barnet	87	380800
201308	Fraud & Forgery	Other Fraud & Forgery	Barnet	2	380800
201308	Other Notifiable Offences	Going Equipped	Barnet	1	380800
201308	Robbery	Business Property	Barnet	6	380800
201308	Violence Against The Person	Offensive Weapon	Barnet	13	380800
201308	Violence Against The Person	Other Violence	Barnet	16	380800
201308	Theft & Handling	Theft From Motor Vehicle	Barnet	228	380800
201308	Theft & Handling	Handling Stolen Goods	Barnet	4	380800
201308	Other Notifiable Offences	Other Notifiable	Barnet	25	380800
201308	Violence Against The Person	Harassment	Barnet	110	380800
201308	Burglary	Burglary In A Dwelling	Barnet	189	380800
201308	Theft & Handling	Theft/Taking Of Pedal Cycle	Barnet	23	380800
201308	Robbery	Personal Property	Barnet	37	380800
